date,BTC,ETH,LTC,BCH,NEO,OMG,XRP,XMR,IOT,ZEC,DASH
2017-10-04 19:00:00,4227.26,291.79,51.55,355.85,31.37,8.65,0.2126,90.37,0.546,238.34,303.79
2017-10-04 20:00:00,4221.99,291.7,51.27,355.53,31.02,8.69,0.2205,90.22,0.5404,235.94,298.54
2017-10-04 21:00:00,4221.99,291.7,51.27,355.53,31.02,8.69,0.2205,90.22,0.5404,235.94,298.54
2017-10-04 22:00:00,4221.99,291.7,51.27,355.53,31.02,8.69,0.2205,90.22,0.5404,235.94,298.54
2017-10-04 23:00:00,4221.99,291.7,51.27,355.53,31.02,8.69,0.2205,90.22,0.5404,235.94,298.54
2017-10-05 00:00:00,4221.99,291.7,51.27,355.53,31.02,8.69,0.2205,90.22,0.5404,235.94,298.54
2017-10-05 01:00:00,4221.99,291.7,51.27,355.53,31.02,8.69,0.2205,90.22,0.5404,235.94,298.54
2017-10-05 02:00:00,4221.99,291.7,51.27,355.53,31.02,8.69,0.2205,90.22,0.5404,235.94,298.54
2017-10-05 03:00:00,4221.99,291.7,51.27,355.53,31.02,8.69,0.2205,90.22,0.5404,235.94,298.54
2017-10-05 04:00:00,4221.99,291.7,51.27,355.53,31.02,8.69,0.2205,90.22,0.5404,235.94,298.54
2017-10-05 05:00:00,4221.99,291.7,51.27,355.53,31.02,8.69,0.2205,90.22,0.5404,235.94,298.54
2017-10-05 06:00:00,4221.99,291.7,51.27,355.53,31.02,8.69,0.2205,90.22,0.5404,235.94,298.54
2017-10-05 07:00:00,4185.45,289.91,51.01,351.49,31.52,8.52,0.224,90.68,0.5463,241.16,299.33
2017-10-05 08:00:00,4243.93,291.38,51.01,359.87,31.41,8.5,0.221,89.13,0.5428,237.36,298.5
2017-10-05 09:00:00,4299.24,292.19,51.16,365.36,32.76,8.68,0.2222,90.09,0.5455,241.4,303.35
2017-10-05 10:00:00,4309.16,293.49,51.24,359.43,32.66,8.83,0.2291,89.78,0.5554,240.23,304.17
2017-10-05 11:00:00,4313.9,293.5,51.3,358.39,32.74,8.91,0.2298,89.64,0.5522,241.98,306.64
2017-10-05 12:00:00,4328.68,294.11,51.53,355.89,32.9,8.94,0.2348,90.58,0.5573,243.32,305.4
2017-10-05 13:00:00,4318.44,293.97,51.41,357.97,32.58,8.8,0.2331,90.45,0.5636,242.66,303.49
2017-10-05 14:00:00,4311.01,294.77,51.36,357.86,32.11,8.65,0.2338,91.19,0.56,243.85,303.15
2017-10-05 15:00:00,4311.01,294.77,51.36,354.13,32.34,8.71,0.2348,91.04,0.56,251.11,302.09
2017-10-05 16:00:00,4341.42,296.08,51.61,353.34,32.14,8.78,0.2369,91.67,0.54,258.01,305.06
2017-10-05 17:00:00,4310.89,294.83,51.61,353.34,32.14,8.78,0.2369,91.67,0.54,258.01,305.06
2017-10-05 18:00:00,4310.89,294.83,51.61,353.34,32.14,8.78,0.2369,91.67,0.54,258.01,305.06
2017-10-05 19:00:00,4310.89,294.83,51.61,353.34,32.14,8.78,0.2369,91.67,0.54,258.01,305.06
2017-10-05 20:00:00,4310.89,294.83,51.61,353.34,32.14,8.78,0.2369,91.67,0.54,258.01,305.06
2017-10-05 21:00:00,4333.47,295.06,51.6,362.59,32.67,8.48,0.2342,91.16,0.5476,269.76,304.76
2017-10-05 22:00:00,4333.47,295.06,51.6,362.59,32.67,8.48,0.2342,91.16,0.5476,269.76,304.76
2017-10-05 23:00:00,4333.47,295.06,51.6,362.59,32.67,8.48,0.2342,91.16,0.5476,269.76,304.76
2017-10-06 00:00:00,4333.47,295.06,51.6,362.59,32.67,8.48,0.2342,91.16,0.5476,269.76,304.76
2017-10-06 01:00:00,4330.49,295.04,51.6,366.58,32.37,8.52,0.2346,90.81,0.5479,262.52,305.8
2017-10-06 02:00:00,4378.25,308.33,52.08,363.22,33.49,8.67,0.2334,91.05,0.504,257.95,305.95
2017-10-06 03:00:00,4378.25,308.33,52.08,363.22,33.49,8.67,0.2334,91.05,0.504,257.95,305.95
2017-10-06 04:00:00,4371.94,308.33,52.08,363.22,33.49,8.67,0.2334,91.05,0.504,257.95,305.95
2017-10-06 05:00:00,4371.94,308.33,52.08,363.22,33.49,8.67,0.2334,91.05,0.504,257.95,305.95
2017-10-06 06:00:00,4371.94,308.33,52.08,363.22,33.49,8.67,0.2334,91.05,0.504,257.95,305.95
2017-10-06 07:00:00,4371.94,308.33,52.08,363.22,33.49,8.67,0.2334,91.05,0.504,257.95,305.95
2017-10-06 08:00:00,4371.94,308.33,52.08,363.22,33.49,8.67,0.2334,91.05,0.504,257.95,305.95
2017-10-06 09:00:00,4371.94,308.33,52.08,363.22,33.49,8.67,0.2334,91.05,0.504,257.95,305.95
2017-10-06 10:00:00,4371.94,308.33,52.08,363.22,33.49,8.67,0.2334,91.05,0.504,257.95,305.95
2017-10-06 11:00:00,4371.94,308.33,52.08,363.22,33.49,8.67,0.2334,91.05,0.504,257.95,305.95
2017-10-06 12:00:00,4371.94,308.33,52.08,363.22,33.49,8.67,0.2334,91.05,0.504,257.95,305.95
2017-10-06 13:00:00,4371.94,308.33,52.08,363.22,33.49,8.67,0.2334,91.05,0.504,257.95,305.95
2017-10-06 14:00:00,4371.94,308.33,52.08,363.22,33.49,8.67,0.2334,91.05,0.504,257.95,305.95
2017-10-06 15:00:00,4371.94,308.33,52.08,363.22,33.49,8.67,0.2334,91.05,0.504,257.95,305.95
2017-10-06 16:00:00,4371.94,308.33,52.08,363.22,33.49,8.67,0.2334,91.05,0.504,257.95,305.95
2017-10-06 17:00:00,4371.94,308.33,52.08,363.22,33.49,8.67,0.2334,91.05,0.504,257.95,305.95
2017-10-06 18:00:00,4371.94,308.33,52.08,363.22,33.49,8.67,0.2334,91.05,0.504,257.95,305.95
2017-10-06 19:00:00,4371.94,308.33,52.08,363.22,33.49,8.67,0.2334,91.05,0.504,257.95,305.95
2017-10-06 20:00:00,4378.09,308.93,51.95,364.55,33.74,8.65,0.2347,91.15,0.5149,256.95,307.82
2017-10-06 21:00:00,4365.83,309.16,51.89,363.25,34.01,8.56,0.2339,90.95,0.5152,255.47,306.49
2017-10-06 22:00:00,4365.83,309.16,51.89,363.25,34.01,8.56,0.2339,90.95,0.5152,255.47,306.49
2017-10-06 23:00:00,4365.83,309.16,51.89,363.25,34.01,8.56,0.2339,90.95,0.5152,255.47,306.49
2017-10-07 00:00:00,4365.83,309.16,51.89,363.25,34.01,8.56,0.2339,90.95,0.5152,255.47,306.49
2017-10-07 01:00:00,4365.83,309.16,51.89,363.25,34.01,8.56,0.2339,90.95,0.5152,255.47,306.49
2017-10-07 02:00:00,4372.17,308.75,51.98,362.46,34.17,8.58,0.2371,90.75,0.5161,247.53,311.73
2017-10-07 03:00:00,4354.36,308.55,51.7,356.11,34.09,8.26,0.2343,91.38,0.5125,253.68,306.65
2017-10-07 04:00:00,4354.36,308.55,51.7,356.11,34.09,8.26,0.2343,91.38,0.5125,253.68,306.65
2017-10-07 05:00:00,4354.36,308.55,51.7,356.11,34.09,8.26,0.2343,91.38,0.5125,253.68,306.65
2017-10-07 06:00:00,4354.36,308.55,51.7,356.11,34.09,8.26,0.2343,91.38,0.5125,253.68,306.65
2017-10-07 07:00:00,4354.36,308.55,51.7,356.11,34.09,8.26,0.2343,91.38,0.5125,253.68,306.65
2017-10-07 08:00:00,4354.36,308.55,51.7,356.11,34.09,8.26,0.2343,91.38,0.5125,253.68,306.65
2017-10-07 09:00:00,4354.36,308.55,51.7,356.11,34.09,8.26,0.2343,91.38,0.5125,253.68,306.65
2017-10-07 10:00:00,4354.36,308.55,51.7,356.11,34.09,8.26,0.2343,91.38,0.5125,253.68,306.65
2017-10-07 11:00:00,4354.36,308.55,51.7,356.11,34.09,8.26,0.2343,91.38,0.5125,253.68,306.65
2017-10-07 12:00:00,4354.36,308.55,51.7,356.11,34.09,8.26,0.2343,91.38,0.5125,253.68,306.65
2017-10-07 13:00:00,4354.36,308.55,51.7,356.11,34.09,8.26,0.2343,91.38,0.5125,253.68,306.65
2017-10-07 14:00:00,4354.36,308.55,51.7,356.11,34.09,8.26,0.2343,91.38,0.5125,253.68,306.65
2017-10-07 15:00:00,4354.36,308.55,51.7,356.11,34.09,8.26,0.2343,91.38,0.5125,253.68,306.65
