,Currency,Rate/BTC,Rate/ETH,Rate/LTC
0,AED,16939.21,1373.44,233.52
1,AFN,315680.04,25595.55,4351.94
2,ALL,512712.25,41571.05,7068.21
3,AMD,2218234.39,179855.93,30580.41
4,ANG,8253.73,669.22,113.79
5,AOA,765217.05,62044.31,10549.23
6,ARS,80134.94,6497.39,1104.73
7,AUD,5770.78,467.90,79.56
8,AWG,8278.43,671.22,114.13
9,AZN,7840.32,635.70,108.09
10,BAM,7535.70,611.00,103.89
11,BBD,9223.90,747.88,127.16
12,BDT,376637.20,30538.00,5192.29
13,BGN,7540.61,611.40,103.95
14,BHD,1738.728,140.977,23.970
15,BIF,8074141,654657,111310
16,BMD,4611.95,373.94,63.58
17,BND,6236.37,505.65,85.97
18,BOB,32342.27,2622.33,445.87
19,BRL,14600.51,1183.82,201.28
20,BSD,4611.95,373.94,63.58
21,BTC,1.00000000,0.08129000,0.01378000
22,BTN,294903.13,23910.94,4065.51
23,BWP,46861.44,3799.56,646.03
24,BYN,8932.55,724.26,123.14
25,BYR,92360064,7488616,1273269
26,BZD,9346.81,757.85,128.85
27,CAD,5769.94,467.83,79.54
28,CDF,7143910.55,579233.06,98485.42
29,CHF,4405.63,357.21,60.74
30,CLF,107.3201,8.7016,1.4795
31,CLP,2886158,234012,39788
32,CNY,30366.69,2462.15,418.63
33,COP,13533767.28,1097326.93,186575.51
34,CRC,2672601.97,216696.36,36844.29
35,CUC,4611.95,373.94,63.58
36,CVE,424530.00,34421.18,5852.54
37,CZK,100547.41,8152.45,1386.14
38,DJF,825401,66924,11379
39,DKK,28649.09,2322.89,394.95
40,DOP,218416.13,17709.33,3011.07
41,DZD,507190.21,41123.32,6992.09
42,EEK,67397.61,5464.64,929.14
43,EGP,81470.10,6605.65,1123.14
44,ERN,70726.43,5734.55,975.03
45,ETB,108462.47,8794.21,1495.26
46,ETH,12.30163612,1.00000000,0.17002728
47,EUR,3859.48,312.96,53.09
48,FJD,9281.78,752.57,127.96
49,FKP,3568.06,289.30,49.19
50,GBP,3587.04,289.30,49.19
51,GEL,11154.69,904.43,153.78
52,GGP,3568.06,289.30,49.19
53,GHS,20542.30,1665.58,283.19
54,GIP,3568.06,289.30,49.19
55,GMD,212495.60,17229.29,2929.45
56,GNF,41212846,3341565,568157
57,GTQ,33774.91,2738.49,465.62
58,GYD,955843.24,77500.41,13177.18
59,HKD,36087.96,2926.04,497.51
60,HNL,108484.58,8796.00,1495.56
61,HRK,28546.13,2314.54,393.53
62,HTG,307409.72,24924.99,4237.93
63,HUF,1177492,95472,16233
64,IDR,61544975.98,4990107.94,848454.47
65,ILS,16474.48,1335.76,227.12
66,IMP,3568.06,289.30,49.19
67,INR,294795.84,23902.24,4064.03
68,IQD,5411431.532,438762.499,74601.593
69,ISK,484134,39254,6674
70,JEP,3568.06,289.30,49.19
71,JMD,593284.86,48103.93,8178.98
72,JOD,3269.877,265.124,45.078
73,JPY,506236,41046,6979
74,KES,475953.24,38590.61,6561.46
75,KGS,316612.23,25671.13,4364.79
76,KHR,18678397.50,1514457.00,257499.00
77,KMF,1897817,153876,26163
78,KRW,5171195,419284,71290
79,KWD,1388.986,112.620,19.148
80,KYD,3864.13,313.31,53.27
81,KZT,1556660.38,126215.07,21460.00
82,LAK,38302244.75,3105571.70,528031.90
83,LBP,6989407.58,566705.86,96355.45
84,LKR,708288.21,57428.48,9764.41
85,LRD,530780.49,43036.04,7317.30
86,LSL,60294.02,4888.68,831.21
87,LTC,72.56894049,5.88140925,1.00000000
88,LTL,14872.82,1205.90,205.04
89,LVL,3026.64,245.40,41.73
90,LYD,6321.858,512.580,87.153
91,MAD,43031.24,3489.00,593.23
92,MDL,82560.82,6694.09,1138.18
93,MGA,13736923.3,1113799.0,189376.1
94,MKD,236878.34,19206.25,3265.59
95,MMK,6262105.71,507735.73,86328.92
96,MNT,11203155.69,908359.38,154445.87
97,MOP,37372.85,3030.22,515.22
98,MRO,1692866.2,137258.4,23337.4
99,MTL,3153.37,255.68,43.47
100,MUR,150425.67,12196.61,2073.76
101,MVR,71255.70,5777.46,982.33
102,MWK,3350349.44,271648.58,46187.67
103,MXN,82204.86,6665.23,1133.27
104,MYR,19692.78,1596.70,271.48
105,MZN,281328.95,22810.34,3878.38
106,NAD,60294.02,4888.68,831.21
107,NGN,1665050.70,135003.43,22954.27
108,NIO,138623.60,11239.69,1911.05
109,NOK,35734.38,2897.37,492.63
110,NPR,474900.53,38505.25,6546.94
111,NZD,6350.90,514.94,87.55
112,OMR,1775.513,143.960,24.477
113,PAB,4611.95,373.94,63.58
114,PEN,14940.41,1211.38,205.97
115,PGK,14765.39,1197.19,203.55
116,PHP,235686.02,19109.58,3249.15
117,PKR,487921.25,39560.98,6726.45
118,PLN,16383.43,1328.38,225.86
119,PYG,26168204,2121736,360753
120,QAR,16995.06,1377.97,234.29
121,RON,17686.48,1434.03,243.82
122,RSD,458970.89,37213.67,6327.34
123,RUB,271182.20,21987.63,3738.50
124,RWF,3846781,311900,53031
125,SAR,17297.35,1402.48,238.46
126,SBD,35953.96,2915.17,495.66
127,SCR,62860.34,5096.76,866.59
128,SEK,36600.82,2967.62,504.58
129,SGD,6246.02,506.43,86.11
130,SHP,3568.06,289.30,49.19
131,SLL,34821071.25,2823315.82,480040.70
132,SOS,2716438.55,220250.66,37448.62
133,SRD,34303.68,2781.37,472.91
134,SSP,578960.68,46942.52,7981.51
135,STD,94331225.33,7648439.03,1300443.26
136,SVC,40575.92,3289.92,559.38
137,SZL,60524.38,4907.36,834.38
138,THB,153070.62,12411.07,2110.22
139,TJS,40874.10,3314.10,563.49
140,TMT,16164.79,1310.65,222.85
141,TND,11225.025,910.133,154.747
142,TOP,10116.66,820.27,139.47
143,TRY,15905.72,1289.65,219.28
144,TTD,31297.52,2537.62,431.47
145,TWD,138971.89,11267.93,1915.86
146,TZS,10335841.14,838036.93,142489.14
147,UAH,118035.47,9570.40,1627.23
148,UGX,16693414,1353513,230134
149,USD,4611.95,373.94,63.58
150,UYU,133349.03,10812.03,1838.34
151,UZS,19392557.96,1572361.61,267344.36
152,VEF,46686.68,3785.39,643.62
153,VND,104786359,8496148,1444577
154,VUV,478828,38824,6601
155,WST,11501.16,932.52,158.55
156,XAF,2526055,204814,34824
157,XAG,264,21,4
158,XAU,4,0,0
159,XCD,12464.03,1010.59,171.83
160,XDR,3241,263,45
161,XOF,2526055,204814,34824
162,XPD,5,0,0
163,XPF,459540,37260,6335
164,XPT,5,0,0
165,YER,1154255.79,93587.83,15912.48
166,ZAR,59859.88,4853.48,825.22
167,ZMK,24226920.42,1964334.96,333990.52
168,ZMW,42010.38,3406.23,579.15
169,ZWL,1486685.19,120541.43,20495.33
